original Image Index,Visual ID,Price,Link
1,1,349.00,https://www.cilory.com/slogan-t-shirts/151030-grunt-level-up-black-round-neck-t-shirt.html
1,2,799.00,http://www.flipkart.com/new-fashion-point-printed-men-round-neck-blue-t-shirt/p/itm9cc98517af092?pid=TSHFZEUBARC7H2HG&lid=LSTTSHFZEUBARC7H2HGTSHKPU&marketplace=FLIPKART&cmpid=content_t-shirt_8965229628_gmc
1,3,749.00,https://skoop.com.ph/products/ss1-free?variant=30193764794428
1,4,157.00,https://www.ajio.com/louis-philippe-graphic-print-slim-fit-crew-neck-t-shirt/p/460920212_white#gmf
1,5,1199.00,http://www.myntra.com/Tshirts/Roadster/Roadster-Men-Navy-Blue-Printed-T-shirt/8938977/buy
1,6,279.00,https://www.redbubble.com/i/t-shirt/FJB-Pro-America-US-Distressed-Flag-F-Biden-FJB-Hoodie-T-Shirt-by-vincenteArtist/90751430.FB110
1,7,1067.00,https://www.yoox.com/CH/12656507WT/item?dept=men
1,8,1199.00,https://dvrxthreads.com/products/g-lf-tee-black?variant=39597269909590&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic
2,1,1249.22,https://www.grandderby.com/s19-48-navy-navy.html
2,2,1399.00,https://www.nykaafashion.com/huetrap-mens-round-neck-short-sleeve-rogue-graphic-t-shirt/p/3570961?adsource=shopping_india
2,3,599.00,http://www.flipkart.com/roadster-printed-men-round-neck-grey-t-shirt/p/itmfgwcdfqhym9cn?pid=TSHFGW8KE56V3ZVH&lid=LSTTSHFGW8KE56V3ZVHZMZFI1&marketplace=FLIPKART&cmpid=content_t-shirt_8965229628_gmc
2,4,1049.00,https://www.shoppersstop.com/mufti-printed-fit-mens-t-shirt/p-S21MFK-8265NAV
2,5,549.00,https://www.peterengland.com/product/grey-printed-crew-neck-tee-29670.html
2,6,2499.00,https://www.limeroad.com/blue-cotton-la-loft-p17034082
2,7,799.00,https://www.amazon.in/Aeropostale-Mens-T-Shirt/dp/B073R5Y8Q4
2,8,699.00,https://www.shopclues.com/zete021-grey-13-no.-printed-t-shirt-for-men-151058498.html
2,9,549.00,https://www.bewakoof.com/p/quancious-mens-plus-size-white-organic-cotton-half-sleeves-t-shirt28
2,10,1049.00,https://www.tatacliq.com/globus-pink-cotton-regular-fit-printed-t-shirt/p-mp000000011610818
2,11,699.00,https://www.planetfashion.in/product/peter-england-navy-t-shirt-409751.html
